,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,67.0,67.0,67.0,67.0,67.0,132.0,132.0,67.0,132.0,67.0,67.0,132.0,67.0,132.0,67.0,132.0,67.0,132.0,67.0,132.0,67.0,132.0,67.0,67.0,132.0,67.0,132.0,67.0,67.0,132.0,67.0,67.0,132.0,67.0,132.0,67.0,67.0,67.0,132.0,132.0,67.0,67.0,182.0,13.0,67.0,182.0,13.0,67.0,132.0,67.0
1,67.0,67.0,177.0,177.0,155.0,11.0,132.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,132.0,67.0,177.0,147.0,167.0,93.0,67.0,177.0,157.0,167.0,91.0,67.0,177.0,177.0,146.0,19.0,132.0,67.0,67.0,177.0,177.0,177.0,177.0,177.0,177.0
2,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,182.0,13.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,132.0,67.0,67.0,67.0,67.0,132.0,182.0,78.0,67.0,67.0,67.0,67.0,67.0,67.0,132.0,132.0,67.0,132.0,132.0,132.0,67.0,67.0,132.0,132.0
3,177.0,177.0,146.0,177.0,157.0,177.0,157.0,177.0,157.0,167.0,177.0,157.0,177.0,177.0,177.0,177.0,177.0,116.0,177.0,177.0,177.0,136.0,177.0,177.0,146.0,177.0,157.0,177.0,157.0,167.0,177.0,177.0,146.0,167.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,125.0,177.0,157.0,167.0,177.0,157.0,177.0
4,167.0,167.0,167.0,167.0,167.0,167.0,132.0,132.0,167.0,32.0,167.0,167.0,126.0,67.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,156.0,167.0,167.0,167.0,167.0,167.0,163.0,167.0,100.0,167.0,167.0,167.0,177.0,157.0,167.0,167.0,167.0,167.0,167.0
5,67.0,67.0,67.0,132.0,67.0,67.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0,182.0,13.0,182.0,13.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0,182.0,182.0,147.0,182.0,182.0,147.0,13.0,67.0,132.0,67.0,132.0,67.0,182.0,182.0,147.0,182.0,182.0,147.0,13.0,132.0,67.0,132.0,132.0,132.0,182.0,13.0
6,29.0,15.0,4.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,93.0,6.0,167.0,21.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,108.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,177.0,157.0,167.0,177.0,177.0,146.0,177.0,157.0,167.0,167.0,78.0,177.0,177.0,146.0,177.0,177.0,146.0,167.0,167.0,167.0,167.0,167.0
9,67.0,67.0,67.0,67.0,132.0,67.0,67.0,67.0,67.0,132.0,132.0,182.0,13.0,67.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0,132.0,67.0,132.0,67.0,67.0,182.0,78.0,67.0,67.0,67.0,132.0,67.0,67.0,132.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0,182.0,13.0,67.0,67.0,67.0,132.0,67.0,182.0
10,177.0,177.0,146.0,167.0,167.0,167.0,39.0,167.0,177.0,157.0,167.0,167.0,138.0,67.0,67.0,177.0,177.0,146.0,177.0,157.0,167.0,177.0,157.0,177.0,157.0,167.0,166.0,135.0,135.0,177.0,157.0,175.0,177.0,157.0,177.0,157.0,177.0,157.0,167.0,167.0,167.0,167.0,23.0,167.0,93.0,167.0,29.0,167.0,167.0,58.0
11,182.0,182.0,147.0,182.0,182.0,147.0,77.0,67.0,67.0,182.0,13.0,182.0,182.0,147.0,182.0,182.0,147.0,13.0,182.0,182.0,147.0,182.0,182.0,147.0,13.0,182.0,13.0,67.0,132.0,67.0,67.0,132.0,67.0,67.0,132.0,182.0,182.0,147.0,182.0,182.0,147.0,13.0,182.0,182.0,147.0,182.0,182.0,147.0,13.0,67.0
12,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,177.0,18.0,67.0,67.0,132.0,67.0,67.0,132.0,67.0,132.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,132.0,67.0,67.0,67.0,67.0,67.0,132.0,67.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,142.0,182.0,142.0,67.0,67.0,67.0,67.0,182.0,13.0,67.0,182.0,182.0,24.0,67.0,67.0,132.0,182.0,13.0,67.0,132.0,132.0,67.0,132.0,182.0,13.0,67.0,182.0,182.0,24.0,132.0,67.0,132.0,132.0,67.0,67.0,182.0,13.0,182.0,13.0,182.0,13.0,132.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,67.0,67.0,67.0,67.0,67.0,67.0,67.0,132.0,132.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,67.0,67.0,132.0,132.0,67.0,67.0,67.0,182.0,13.0,67.0,182.0,13.0,67.0,67.0,132.0,67.0,132.0,182.0,78.0,132.0,67.0,67.0,67.0,132.0,67.0,132.0,182.0,78.0,67.0,67.0,67.0,182.0,13.0,67.0,67.0,67.0,182.0,78.0,182.0,13.0,67.0,67.0,67.0,132.0,67.0,0.0,0.0,0.0,0.0,0.0
16,132.0,67.0,132.0,67.0,67.0,67.0,132.0,67.0,177.0,18.0,67.0,67.0,167.0,32.0,167.0,32.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,135.0,67.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,132.0,67.0,67.0,67.0,132.0,182.0,13.0,132.0,132.0,182.0,13.0,67.0,132.0,132.0,67.0,132.0,132.0,67.0,67.0,67.0,67.0,132.0,67.0,67.0,132.0,67.0,132.0,67.0,182.0,13.0,67.0,132.0,67.0,67.0,132.0,67.0,182.0,13.0,67.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
