,0,1,2,3,4,5,6
0,58368.0,110.0,0,5,0,2657,24722
1,110.0,58368.0,0,5,0,1600,22979
2,58368.0,110.0,0,5,0,4228,47802
3,110.0,58368.0,0,5,0,1057,0
4,110.0,58368.0,0,5,0,3171,59271
5,58368.0,110.0,0,5,0,2114,18986
6,58368.0,110.0,0,5,0,4228,36929
7,110.0,58368.0,0,5,0,1057,0
8,110.0,58368.0,0,5,0,1600,34872
9,58368.0,110.0,0,5,0,2657,39940
10,110.0,58368.0,0,19,0,7544,40124
11,58368.0,110.0,0,21,0,6458,36865
12,58368.0,110.0,0,6,0,4228,32347
13,110.0,58368.0,0,4,0,1057,0
14,110.0,58368.0,0,10,0,3714,35885
15,58368.0,110.0,0,10,0,6342,57261
16,110.0,58368.0,0,10,0,3714,55151
17,58368.0,110.0,0,10,0,6342,74265
18,110.0,58368.0,0,11,0,4228,39822
19,58368.0,110.0,0,9,0,6342,37574
20,58368.0,110.0,0,10,0,7399,30038
21,110.0,58368.0,0,10,0,3171,22574
22,58368.0,110.0,0,10,0,6342,30252
23,110.0,58368.0,0,10,0,4228,31854
24,58368.0,110.0,0,5,0,2657,82510
25,110.0,58368.0,0,5,0,1086,59985
26,58368.0,110.0,0,2,0,543,0
27,47257.0,110.0,0,29,0,16912,41279
28,110.0,47257.0,0,31,0,10114,35415
29,47257.0,110.0,0,19,0,12141,42360
30,110.0,47257.0,0,21,0,4800,24512
31,47257.0,110.0,0,37,0,16912,78582
32,110.0,47257.0,0,33,0,10230,27931
33,110.0,47257.0,0,6,0,1629,41565
34,47257.0,110.0,0,4,0,1600,2000
35,47257.0,110.0,0,11,0,6371,49917
36,110.0,47257.0,0,9,0,1629,8744
37,110.0,47257.0,0,5,0,1600,50316
38,47257.0,110.0,0,5,0,2657,50114
39,110.0,47257.0,0,23,0,5944,50271
40,47257.0,110.0,0,27,0,11801,50287
41,110.0,47257.0,0,5,0,1600,0
42,47257.0,110.0,0,14,0,8456,59515
43,110.0,47257.0,0,11,0,2172,50731
44,47257.0,110.0,0,6,0,2686,50474
45,110.0,47257.0,0,4,0,543,0
46,110.0,47257.0,0,5,0,543,0
47,47257.0,110.0,0,30,0,14856,30189
48,110.0,47257.0,0,45,0,13886,34359
49,47257.0,110.0,0,68,0,38110,29654
50,110.0,47257.0,0,77,0,24398,30674
51,47257.0,110.0,0,62,0,37951,17929
52,110.0,47257.0,0,11,0,29914,9167
53,47257.0,110.0,0,19,0,11084,7900
54,110.0,47257.0,0,41,0,12170,50236
55,47257.0,110.0,0,24,0,14284,34708
56,47257.0,110.0,0,41,0,24369,7895
57,110.0,47257.0,0,44,0,14885,42241
58,47257.0,110.0,0,5,0,3171,189
59,110.0,47257.0,0,56,0,18599,35035
60,47257.0,110.0,0,54,0,30052,34778
61,47257.0,110.0,0,97,0,56419,27747
62,110.0,47257.0,0,93,0,28742,31443
63,47257.0,110.0,0,176,0,34995,15344
64,110.0,47257.0,0,174,0,57766,22087
65,110.0,47257.0,0,161,0,51055,24924
66,47257.0,110.0,0,159,0,22767,12954
67,47257.0,110.0,0,193,0,15855,7469
68,110.0,47257.0,0,110,0,55811,8442
69,47257.0,110.0,0,101,0,61082,20918
70,110.0,47257.0,0,94,0,26968,26617
71,110.0,47257.0,0,117,0,31254,29530
72,47257.0,110.0,0,113,0,10373,14915
73,110.0,47257.0,0,39,0,11200,31938
74,47257.0,110.0,0,41,0,22595,32202
75,110.0,47257.0,0,26,0,10575,27334
76,47257.0,110.0,0,24,0,9513,13747
77,47257.0,110.0,0,60,0,37169,33461
78,110.0,47257.0,0,60,0,12911,33262
79,47257.0,110.0,0,25,0,12286,30490
80,110.0,47257.0,0,25,0,6943,30701
81,110.0,47257.0,0,38,0,10085,13159
82,47257.0,110.0,0,36,0,22769,12961
83,443.0,34328.0,0,10,0,3685,31490
84,34328.0,443.0,0,10,0,3801,45432
85,443.0,34328.0,0,12,0,5672,28967
86,34328.0,443.0,0,8,0,3258,6764
87,34328.0,443.0,0,9,0,1086,112
88,443.0,34328.0,0,11,0,9951,38880
89,34328.0,443.0,0,8,0,2172,19045
90,443.0,34328.0,0,10,0,7768,0
91,34328.0,443.0,0,16,0,4887,36902
92,443.0,34328.0,0,20,0,14537,22171
93,34328.0,443.0,0,4,0,1629,1805
94,443.0,34328.0,0,6,0,4101,0
95,34328.0,443.0,0,25,0,5973,36052
96,443.0,34328.0,0,25,0,14616,39476
97,34328.0,443.0,0,9,0,2715,3455
98,443.0,34328.0,0,22,0,15718,35623
99,34328.0,443.0,0,18,0,4344,23121
100,443.0,34328.0,0,17,0,11785,37233
101,34328.0,443.0,0,4,0,2172,1851
102,34328.0,443.0,0,9,0,3258,2728
103,443.0,34328.0,0,22,0,16203,48314
104,34328.0,443.0,0,18,0,4344,26848
