,0,1,2,3,4,5,6,7,8,9
0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0
1,67.0,67.0,67.0,67.0,132.0,67.0,67.0,67.0,67.0,67.0
2,182.0,182.0,147.0,182.0,182.0,147.0,182.0,88.0,182.0,182.0
3,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
5,167.0,177.0,177.0,146.0,167.0,167.0,167.0,167.0,167.0,167.0
6,167.0,177.0,177.0,146.0,177.0,157.0,167.0,177.0,157.0,177.0
7,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
8,177.0,157.0,167.0,177.0,157.0,177.0,177.0,146.0,177.0,157.0
9,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
10,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0
11,67.0,67.0,67.0,67.0,67.0,67.0,182.0,182.0,88.0,67.0
12,157.0,177.0,177.0,146.0,177.0,157.0,167.0,167.0,177.0,157.0
13,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
14,132.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
15,177.0,177.0,146.0,177.0,177.0,146.0,167.0,135.0,177.0,177.0
16,177.0,177.0,146.0,177.0,177.0,146.0,167.0,177.0,157.0,131.0
17,67.0,182.0,78.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
18,177.0,157.0,167.0,177.0,157.0,177.0,177.0,146.0,177.0,177.0
19,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
20,177.0,177.0,177.0,177.0,177.0,116.0,177.0,177.0,177.0,177.0
21,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
22,177.0,177.0,177.0,177.0,177.0,116.0,167.0,177.0,177.0,146.0
23,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
24,177.0,177.0,177.0,136.0,167.0,177.0,157.0,177.0,177.0,146.0
25,132.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
26,157.0,177.0,177.0,146.0,167.0,166.0,177.0,177.0,146.0,177.0
27,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
28,177.0,177.0,177.0,177.0,105.0,177.0,157.0,177.0,157.0,167.0
29,67.0,67.0,67.0,67.0,182.0,13.0,67.0,67.0,67.0,67.0
30,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
31,167.0,167.0,167.0,177.0,177.0,177.0,136.0,31.0,177.0,157.0
32,67.0,67.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
33,177.0,157.0,177.0,157.0,167.0,177.0,177.0,146.0,167.0,167.0
34,67.0,67.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
35,177.0,157.0,167.0,167.0,177.0,157.0,167.0,167.0,177.0,177.0
36,146.0,167.0,177.0,157.0,167.0,167.0,177.0,157.0,177.0,157.0
37,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
38,177.0,157.0,177.0,177.0,146.0,177.0,157.0,167.0,177.0,177.0
39,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
40,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
41,177.0,177.0,146.0,177.0,177.0,146.0,177.0,177.0,146.0,167.0
42,157.0,177.0,177.0,146.0,177.0,157.0,177.0,157.0,177.0,177.0
43,67.0,67.0,67.0,67.0,67.0,67.0,67.0,132.0,67.0,67.0
44,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
45,167.0,177.0,157.0,177.0,177.0,146.0,167.0,110.0,177.0,157.0
46,167.0,177.0,157.0,177.0,177.0,146.0,177.0,177.0,146.0,167.0
47,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
48,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
49,167.0,167.0,167.0,177.0,177.0,146.0,167.0,50.0,177.0,177.0
50,70.0,167.0,177.0,157.0,177.0,177.0,146.0,167.0,177.0,157.0
51,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
52,167.0,167.0,167.0,167.0,167.0,167.0,167.0,177.0,157.0,177.0
53,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
54,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
55,177.0,157.0,177.0,177.0,177.0,136.0,177.0,177.0,177.0,177.0
56,167.0,167.0,167.0,167.0,177.0,157.0,167.0,34.0,167.0,167.0
57,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
58,167.0,99.0,177.0,157.0,177.0,177.0,146.0,167.0,167.0,167.0
59,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
60,177.0,157.0,167.0,167.0,177.0,157.0,167.0,167.0,177.0,157.0
61,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
62,30.0,15.0,4.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0
63,93.0,6.0,167.0,20.0,67.0,67.0,67.0,67.0,67.0,67.0
64,177.0,157.0,177.0,157.0,177.0,177.0,146.0,167.0,167.0,177.0
65,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
66,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
67,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0
68,177.0,146.0,177.0,157.0,167.0,177.0,177.0,146.0,177.0,177.0
69,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,132.0,67.0
70,167.0,177.0,177.0,146.0,167.0,177.0,157.0,142.0,167.0,177.0
71,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
72,177.0,157.0,177.0,177.0,146.0,177.0,177.0,146.0,167.0,177.0
73,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
74,67.0,167.0,167.0,177.0,177.0,146.0,177.0,177.0,146.0,177.0
75,67.0,67.0,182.0,78.0,67.0,67.0,67.0,67.0,67.0,67.0
76,167.0,177.0,157.0,167.0,167.0,167.0,167.0,177.0,177.0,146.0
77,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
78,157.0,167.0,167.0,167.0,167.0,167.0,177.0,157.0,167.0,167.0
79,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
80,157.0,177.0,177.0,146.0,14.0,167.0,167.0,177.0,177.0,146.0
81,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
82,167.0,177.0,157.0,177.0,177.0,146.0,167.0,177.0,157.0,167.0
83,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
84,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,177.0,157.0,177.0,157.0,177.0,177.0,146.0,167.0,167.0,177.0
87,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
88,13.0,177.0,157.0,167.0,167.0,167.0,167.0,177.0,177.0,146.0
89,67.0,67.0,67.0,67.0,67.0,67.0,67.0,132.0,67.0,67.0
90,177.0,157.0,167.0,167.0,167.0,177.0,177.0,177.0,177.0,126.0
91,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
92,167.0,167.0,177.0,157.0,177.0,157.0,167.0,167.0,177.0,157.0
93,67.0,67.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
94,167.0,167.0,177.0,177.0,146.0,177.0,157.0,167.0,167.0,167.0
95,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
96,167.0,167.0,167.0,177.0,157.0,167.0,177.0,177.0,146.0,177.0
97,67.0,67.0,67.0,182.0,13.0,67.0,67.0,67.0,67.0,67.0
98,157.0,167.0,177.0,157.0,167.0,177.0,157.0,167.0,167.0,167.0
99,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,132.0,67.0
100,167.0,167.0,177.0,177.0,146.0,167.0,177.0,157.0,177.0,177.0
101,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
102,167.0,167.0,167.0,167.0,167.0,177.0,157.0,167.0,42.0,167.0
103,67.0,67.0,67.0,67.0,182.0,13.0,67.0,67.0,67.0,67.0
104,167.0,167.0,167.0,167.0,177.0,177.0,146.0,177.0,157.0,177.0
105,67.0,67.0,67.0,67.0,67.0,67.0,182.0,13.0,67.0,67.0
106,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,177.0,177.0,146.0,177.0,177.0,146.0,177.0,157.0,167.0,177.0
109,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
110,157.0,167.0,177.0,177.0,146.0,167.0,177.0,157.0,167.0,167.0
111,67.0,67.0,67.0,67.0,67.0,132.0,67.0,67.0,67.0,132.0
112,177.0,157.0,167.0,112.0,177.0,157.0,177.0,157.0,167.0,177.0
113,132.0,67.0,67.0,132.0,67.0,67.0,67.0,132.0,67.0,67.0
114,167.0,177.0,157.0,177.0,157.0,177.0,157.0,167.0,167.0,177.0
115,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
116,29.0,18.0,6.0,134.0,134.0,70.0,134.0,70.0,134.0,70.0
117,93.0,9.0,177.0,13.0,70.0,70.0,167.0,167.0,167.0,167.0
118,167.0,167.0,113.0,167.0,177.0,157.0,167.0,167.0,177.0,177.0
119,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
120,29.0,15.0,4.0,132.0,182.0,182.0,147.0,182.0,182.0,29.0
121,93.0,6.0,167.0,20.0,67.0,67.0,177.0,177.0,177.0,177.0
122,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0
123,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
124,157.0,167.0,167.0,167.0,177.0,157.0,167.0,167.0,86.0,167.0
125,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
126,167.0,167.0,167.0,167.0,177.0,157.0,177.0,177.0,146.0,167.0
127,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
128,177.0,157.0,177.0,177.0,146.0,167.0,177.0,157.0,167.0,167.0
129,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
130,22.0,167.0,167.0,177.0,157.0,167.0,177.0,157.0,177.0,157.0
131,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
132,177.0,177.0,136.0,167.0,177.0,157.0,167.0,177.0,177.0,146.0
133,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
134,177.0,177.0,177.0,177.0,95.0,177.0,157.0,177.0,177.0,146.0
135,67.0,67.0,67.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0
136,177.0,146.0,177.0,177.0,146.0,177.0,177.0,146.0,177.0,177.0
