,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,67.0,67.0,67.0,67.0,67.0,132.0,177.0,157.0,177.0,177.0,146.0,138.0,177.0,177.0,146.0,167.0,177.0,177.0,177.0,136.0,177.0,157.0,177.0,157.0,177.0,177.0,177.0,177.0,146.0,177.0,157.0,167.0,177.0,157.0,167.0,167.0,167.0,177.0,157.0,177.0,177.0,146.0,177.0,177.0,146.0,177.0,177.0,146.0,167.0,167.0
2,67.0,67.0,132.0,167.0,177.0,177.0,177.0,177.0,177.0,177.0,76.0,167.0,167.0,177.0,157.0,177.0,157.0,177.0,157.0,167.0,177.0,157.0,177.0,157.0,177.0,177.0,146.0,167.0,167.0,167.0,177.0,157.0,177.0,177.0,146.0,167.0,177.0,157.0,177.0,157.0,177.0,157.0,177.0,157.0,167.0,167.0,177.0,157.0,177.0,157.0
3,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
4,146.0,167.0,177.0,177.0,177.0,177.0,126.0,177.0,177.0,146.0,167.0,164.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,95.0,177.0,177.0,177.0,136.0,177.0,157.0,177.0,157.0,177.0,177.0,146.0,177.0,157.0,177.0,157.0,177.0,157.0,167.0,124.0,167.0,177.0,157.0,177.0,157.0,167.0,167.0,177.0,177.0,146.0,177.0
5,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,67.0,67.0,177.0,177.0,177.0,177.0,177.0,177.0,114.0,177.0,157.0,171.0,177.0,177.0,146.0,177.0,177.0,146.0,177.0,177.0,177.0,136.0,144.0,177.0,177.0,146.0,177.0,177.0,146.0,177.0,177.0,146.0,177.0,157.0,177.0,157.0,177.0,177.0,146.0,177.0,157.0,177.0,177.0,177.0,177.0,177.0,116.0,5.0,177.0,157.0
7,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,132.0,67.0,132.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,132.0
8,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
