,0,1,2,3,4,5,6
0,443.0,54453.0,0,182,0,19005,34430
1,54453.0,443.0,0,102,0,29430,8156
2,54453.0,443.0,0,225,0,54581,1745
3,443.0,54453.0,0,229,0,23892,29870
4,54453.0,443.0,0,210,0,61138,302
5,443.0,54453.0,0,107,0,14661,38827
6,54453.0,443.0,0,154,0,22555,1613
7,443.0,54453.0,0,202,0,32464,18281
8,59708.0,443.0,0,2,0,543,0
9,443.0,59708.0,0,2,0,543,0
10,54453.0,443.0,0,110,0,50422,1090
11,443.0,54453.0,0,179,0,24261,29903
12,54453.0,443.0,0,144,0,15230,164
13,443.0,54453.0,0,94,0,13032,36877
14,54453.0,443.0,0,196,0,6433,989
15,443.0,54453.0,0,239,0,35208,20364
16,54453.0,443.0,0,102,0,32553,1120
17,443.0,54453.0,0,115,0,17376,30462
18,54453.0,443.0,0,97,0,30979,388
19,443.0,54453.0,0,159,0,21517,29702
20,54453.0,443.0,0,147,0,27279,636
21,443.0,54453.0,0,91,0,12315,32053
22,54453.0,443.0,0,242,0,34204,190
23,54453.0,443.0,0,137,0,51695,1755
24,443.0,54453.0,0,25,0,31349,16481
25,443.0,54453.0,0,233,0,28489,30980
26,54453.0,443.0,0,120,0,64468,992
27,59708.0,443.0,0,3,0,543,0
28,443.0,59708.0,0,3,0,1086,4001
29,54453.0,443.0,0,96,0,26346,10509
30,443.0,54453.0,0,183,0,21032,29190
31,54453.0,443.0,0,187,0,54690,1532
32,443.0,54453.0,0,99,0,30379,21762
33,54453.0,443.0,0,108,0,29486,1257
34,443.0,54453.0,0,55,0,36352,24165
35,54453.0,443.0,0,185,0,46927,434
36,443.0,54453.0,0,66,0,39096,26354
37,54453.0,443.0,0,211,0,37520,373
38,443.0,54453.0,0,146,0,26520,37397
39,54453.0,443.0,0,192,0,17201,504
40,443.0,54453.0,0,95,0,38524,26334
41,54453.0,443.0,0,93,0,52137,663
42,443.0,54453.0,0,150,0,19005,25585
43,54453.0,443.0,0,126,0,39653,319
44,443.0,54453.0,0,33,0,36924,26579
45,54453.0,443.0,0,145,0,62427,312
46,443.0,54453.0,0,228,0,24978,31402
47,54453.0,443.0,0,106,0,13355,425
48,443.0,54453.0,0,6,0,33637,16473
49,443.0,54453.0,0,249,0,31030,36094
50,54453.0,443.0,0,159,0,45326,1808
51,443.0,54453.0,0,226,0,29546,36842
52,54453.0,443.0,0,162,0,45559,514
53,54453.0,443.0,0,180,0,48737,685
54,443.0,54453.0,0,228,0,29749,29889
55,54453.0,443.0,0,147,0,17544,16694
56,443.0,54453.0,0,201,0,28207,22504
57,54453.0,443.0,0,137,0,60659,445
58,443.0,54453.0,0,69,0,36924,26841
59,54453.0,443.0,0,196,0,24384,19622
60,443.0,54453.0,0,148,0,19005,26578
61,443.0,54453.0,0,237,0,32037,26990
62,54453.0,443.0,0,221,0,44932,313
63,443.0,54453.0,0,252,0,33094,15554
64,54453.0,443.0,0,236,0,52056,308
65,443.0,54453.0,0,52,0,37467,27969
66,54453.0,443.0,0,144,0,58478,312
67,443.0,54453.0,0,162,0,24920,30388
68,54453.0,443.0,0,212,0,34315,19083
69,443.0,54453.0,0,175,0,22205,38907
70,54453.0,443.0,0,199,0,28071,11812
71,54453.0,443.0,0,254,0,24023,330
72,443.0,54453.0,0,180,0,24978,37526
73,443.0,54453.0,0,19,0,32551,16314
74,54453.0,443.0,0,213,0,29800,304
75,54453.0,443.0,0,80,0,52820,393
76,443.0,54453.0,0,16,0,34209,28975
77,54453.0,443.0,0,237,0,9920,25207
78,443.0,54453.0,0,177,0,21177,30784
79,54453.0,443.0,0,199,0,40395,21777
80,443.0,54453.0,0,81,0,9231,14930
81,54453.0,443.0,0,251,0,64399,324
82,443.0,54453.0,0,81,0,35266,14410
83,443.0,54453.0,0,20,0,37467,27139
84,54453.0,443.0,0,96,0,8858,211
85,54453.0,443.0,0,4,0,29892,524
86,443.0,54453.0,0,18,0,21177,30181
87,443.0,54453.0,0,106,0,32551,16091
88,54453.0,443.0,0,236,0,50702,404
89,54453.0,443.0,0,123,0,39601,388
90,443.0,54453.0,0,123,0,36924,25692
91,443.0,54453.0,0,154,0,36924,26469
92,54453.0,443.0,0,122,0,43104,306
93,54453.0,443.0,0,89,0,56265,22957
94,443.0,54453.0,0,43,0,23892,42373
95,443.0,54453.0,0,113,0,36352,20758
96,54453.0,443.0,0,33,0,56618,315
97,443.0,54453.0,0,179,0,20091,30679
98,54453.0,443.0,0,175,0,1472,3129
99,54453.0,443.0,0,165,0,5264,301
100,443.0,54453.0,0,211,0,42354,24618
101,54453.0,443.0,0,198,0,27857,6640
102,443.0,54453.0,0,196,0,19005,29557
103,443.0,54453.0,0,44,0,34180,16468
104,54453.0,443.0,0,208,0,19596,1415
105,54453.0,443.0,0,90,0,8580,907
106,443.0,54453.0,0,106,0,36381,29132
107,54453.0,443.0,0,193,0,20903,23534
108,443.0,54453.0,0,171,0,19548,27784
109,54453.0,443.0,0,61,0,27253,359
110,443.0,54453.0,0,95,0,37438,25357
111,443.0,54453.0,0,45,0,34752,29502
112,54453.0,443.0,0,51,0,26351,290
113,54453.0,443.0,0,230,0,4828,27398
114,443.0,54453.0,0,224,0,20634,32882
115,443.0,54453.0,0,212,0,18462,30325
116,54453.0,443.0,0,182,0,8256,13117
117,54453.0,443.0,0,202,0,13932,301
118,443.0,54453.0,0,30,0,32551,15908
119,54453.0,443.0,0,40,0,22027,380
120,443.0,54453.0,0,198,0,22263,29841
121,54453.0,443.0,0,24,0,55646,218
122,443.0,54453.0,0,12,0,33123,24988
123,443.0,54453.0,0,96,0,35266,21450
124,54453.0,443.0,0,0,0,7275,3606
125,54453.0,443.0,0,31,0,8847,309
126,443.0,54453.0,0,197,0,23349,29944
127,54453.0,443.0,0,1,0,21401,121
128,443.0,54453.0,0,55,0,33666,29266
129,54453.0,443.0,0,54,0,34156,370
130,443.0,54453.0,0,204,0,22806,29901
131,54453.0,443.0,0,168,0,47992,150
132,443.0,54453.0,0,166,0,20062,29639
133,443.0,54453.0,0,97,0,37467,25994
134,54453.0,443.0,0,89,0,61901,343
135,54453.0,443.0,0,126,0,47523,320
136,443.0,54453.0,0,50,0,36924,28096
137,443.0,54453.0,0,156,0,19005,27384
138,54453.0,443.0,0,92,0,11398,298
139,443.0,54453.0,0,34,0,27693,29889
140,54453.0,443.0,0,218,0,34827,476
141,443.0,54453.0,0,171,0,23689,32434
142,54453.0,443.0,0,106,0,24548,1225
143,443.0,54453.0,0,116,0,18433,25227
144,54453.0,443.0,0,202,0,33253,2747
145,443.0,54453.0,0,125,0,34752,28812
146,54453.0,443.0,0,61,0,34749,895
147,443.0,54453.0,0,237,0,20634,51918
148,54453.0,443.0,0,15,0,49049,88
149,443.0,54453.0,0,115,0,35838,28462
150,54453.0,443.0,0,40,0,2852,303
151,443.0,54453.0,0,179,0,19005,27585
152,54453.0,443.0,0,187,0,11936,21896
153,443.0,54453.0,0,69,0,31494,27864
154,54453.0,443.0,0,218,0,30124,284
155,443.0,54453.0,0,84,0,30379,29769
156,54453.0,443.0,0,87,0,58938,426
157,443.0,54453.0,0,242,0,28236,25780
158,54453.0,443.0,0,74,0,47506,296
159,443.0,54453.0,0,112,0,34752,25456
160,443.0,54453.0,0,152,0,14632,14823
161,54453.0,443.0,0,227,0,43556,772
162,443.0,54453.0,0,134,0,36924,28849
163,54453.0,443.0,0,128,0,46777,396
164,443.0,54453.0,0,114,0,35838,27778
165,54453.0,443.0,0,209,0,28757,377
166,443.0,54453.0,0,145,0,19548,27383
167,54453.0,443.0,0,177,0,18959,277
168,54453.0,443.0,0,34,0,57108,383
169,443.0,54453.0,0,55,0,36381,28739
170,54453.0,443.0,0,31,0,5968,195
171,443.0,54453.0,0,134,0,19005,23847
172,443.0,54453.0,0,171,0,23863,29673
173,54453.0,443.0,0,223,0,41493,3362
174,54453.0,443.0,0,133,0,45386,392
175,443.0,54453.0,0,43,0,36381,28149
176,443.0,54453.0,0,164,0,19548,26580
177,54453.0,443.0,0,200,0,28526,310
178,54453.0,443.0,0,135,0,54045,403
179,443.0,54453.0,0,166,0,35838,28230
180,54453.0,443.0,0,124,0,60926,26266
181,443.0,54453.0,0,91,0,28236,28764
182,54453.0,443.0,0,170,0,42772,362
183,443.0,54453.0,0,146,0,21119,35611
184,443.0,54453.0,0,45,0,31494,29609
185,54453.0,443.0,0,97,0,64823,457
186,443.0,59717.0,0,17,0,4181,2391
187,59717.0,443.0,0,21,0,6109,2988
188,443.0,54453.0,0,80,0,3881,10531
189,54453.0,443.0,0,175,0,27790,198
190,443.0,59717.0,0,19,0,6516,9051
191,59717.0,443.0,0,25,0,7059,9546
192,443.0,54453.0,0,208,0,31494,29326
193,54453.0,443.0,0,95,0,56108,195
194,54453.0,443.0,0,239,0,5805,202
195,443.0,54453.0,0,175,0,24435,57717
196,443.0,54453.0,0,219,0,30147,34551
197,54453.0,443.0,0,119,0,43150,389
198,54453.0,443.0,0,169,0,40548,1094
199,443.0,54453.0,0,234,0,29322,21811
200,443.0,59279.0,0,219,0,29786,3162
201,59279.0,443.0,0,188,0,17213,1215
202,443.0,56662.0,0,18,0,4600,700
203,56662.0,443.0,0,24,0,17397,965
204,54453.0,443.0,0,156,0,23778,1029
205,443.0,54453.0,0,202,0,30951,21878
206,54453.0,443.0,0,172,0,40179,343
207,443.0,54453.0,0,226,0,28236,21097
208,54453.0,443.0,0,84,0,61278,948
209,443.0,54453.0,0,214,0,31407,24885
210,54453.0,443.0,0,151,0,13782,2850
211,443.0,54453.0,0,229,0,30408,27019
212,443.0,59717.0,0,2,0,543,0
213,59717.0,443.0,0,2,0,543,0
214,54453.0,443.0,0,108,0,39447,20170
215,443.0,54453.0,0,49,0,30951,22478
216,54453.0,443.0,0,167,0,41953,618
217,443.0,54453.0,0,236,0,30118,44740
218,54453.0,443.0,0,171,0,42720,934
219,443.0,54453.0,0,195,0,24978,33183
220,443.0,59279.0,0,2,0,565,0
221,59279.0,443.0,0,2,0,565,0
222,443.0,56662.0,0,2,0,543,0
223,56662.0,443.0,0,2,0,543,0
224,54453.0,443.0,0,26,0,35499,697
225,443.0,54453.0,0,241,0,32551,16742
226,54453.0,443.0,0,159,0,35784,293
227,443.0,54453.0,0,243,0,27693,23816
228,54453.0,443.0,0,172,0,39040,699
229,443.0,54453.0,0,230,0,29749,26110
230,54453.0,443.0,0,81,0,21675,1191
231,54453.0,443.0,0,95,0,25145,1017
232,443.0,54453.0,0,224,0,34317,23543
233,443.0,59717.0,0,1,0,543,0
234,54453.0,443.0,0,166,0,37252,252
235,59717.0,443.0,0,2,0,543,0
236,443.0,59717.0,0,2,0,543,0
237,443.0,54453.0,0,223,0,33550,27517
238,54453.0,443.0,0,57,0,45855,682
239,443.0,54453.0,0,206,0,30408,23233
240,54453.0,443.0,0,167,0,37422,253
241,443.0,54453.0,0,254,0,38292,25180
242,54453.0,443.0,0,224,0,28339,329
243,443.0,59279.0,0,2,0,565,0
244,443.0,56662.0,0,2,0,543,0
245,59279.0,443.0,0,2,0,565,0
246,56662.0,443.0,0,2,0,543,0
247,443.0,54453.0,0,198,0,28721,25593
248,54453.0,443.0,0,155,0,29971,654
249,443.0,56662.0,0,2,0,543,0
250,443.0,59279.0,0,1,0,565,0
251,54453.0,443.0,0,96,0,26319,12276
252,443.0,54453.0,0,105,0,17376,32599
253,54453.0,443.0,0,171,0,43017,252
254,443.0,54453.0,0,217,0,28779,24093
255,54453.0,443.0,0,170,0,39178,1050
256,443.0,54453.0,0,218,0,28779,22689
257,54453.0,443.0,0,85,0,20444,1023
258,443.0,54453.0,0,113,0,16833,31331
259,54453.0,443.0,0,217,0,39765,1058
260,443.0,54453.0,0,153,0,25405,30886
261,54453.0,443.0,0,44,0,16648,8161
262,443.0,54453.0,0,159,0,28779,22509
263,54453.0,443.0,0,188,0,16727,61
264,443.0,54453.0,0,225,0,30951,22475
265,54453.0,443.0,0,95,0,29738,5597
266,443.0,54453.0,0,210,0,28779,21668
267,54453.0,443.0,0,110,0,40507,249
268,54453.0,443.0,0,174,0,44320,880
269,443.0,54453.0,0,224,0,29836,22662
270,443.0,54453.0,0,201,0,27577,38637
271,54453.0,443.0,0,127,0,52060,254
272,443.0,54453.0,0,193,0,32008,18363
273,54453.0,443.0,0,65,0,30146,1196
274,443.0,54453.0,0,224,0,29575,35607
275,54453.0,443.0,0,154,0,32458,663
