,0,1,2,3,4,5,6,7,8,9
0,67.0,67.0,67.0,177.0,18.0,132.0,67.0,0.0,0.0,0.0
1,67.0,182.0,13.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
2,67.0,67.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,67.0,67.0,67.0,67.0,67.0,177.0,83.0,0.0,0.0,0.0
4,67.0,67.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0
5,67.0,67.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0
6,67.0,67.0,177.0,160.0,168.0,79.0,67.0,67.0,67.0,132.0
7,67.0,67.0,182.0,13.0,67.0,67.0,67.0,67.0,67.0,67.0
8,67.0,67.0,177.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
9,132.0,67.0,67.0,132.0,182.0,78.0,67.0,132.0,132.0,132.0
10,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,168.0
11,182.0,182.0,147.0,72.0,182.0,182.0,147.0,182.0,182.0,93.0
12,132.0,67.0,67.0,67.0,67.0,67.0,67.0,135.0,67.0,67.0
13,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
14,67.0,67.0,67.0,67.0,135.0,67.0,67.0,67.0,67.0,67.0
15,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
16,135.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
17,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
18,67.0,67.0,67.0,67.0,135.0,67.0,67.0,67.0,67.0,67.0
19,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
20,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
21,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
22,135.0,67.0,67.0,67.0,67.0,67.0,67.0,135.0,67.0,67.0
23,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
24,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
25,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
26,135.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
27,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
28,135.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
29,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
30,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
31,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
32,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
33,132.0,67.0,67.0,132.0,67.0,182.0,13.0,132.0,67.0,67.0
34,67.0,67.0,67.0,168.0,91.0,177.0,177.0,151.0,177.0,160.0
35,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
36,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,132.0,67.0
37,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
38,67.0,67.0,67.0,67.0,67.0,67.0,168.0,34.0,67.0,67.0
39,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
40,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
41,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
42,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
43,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
44,135.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,168.0
45,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
46,67.0,67.0,67.0,135.0,67.0,67.0,67.0,67.0,67.0,67.0
47,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
48,67.0,135.0,67.0,135.0,67.0,67.0,67.0,67.0,67.0,67.0
49,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
50,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
