,0,1,2,3,4,5,6
0,49580.0,443.0,0,10,0,4800,33531
1,443.0,49580.0,0,10,0,2657,26896
2,443.0,49580.0,0,10,0,2143,46121
3,49580.0,443.0,0,10,0,4800,30240
4,443.0,49580.0,0,11,0,2715,59886
5,49580.0,443.0,0,9,0,2715,39018
6,49580.0,443.0,0,80,0,56274,16483
7,443.0,49580.0,0,70,0,16572,39493
8,49580.0,443.0,0,4,0,2657,350
9,443.0,49580.0,0,189,0,14572,4818
10,49580.0,443.0,0,10,0,4086,5037
11,443.0,49580.0,0,148,0,24913,3707
12,49580.0,443.0,0,223,0,37612,5156
13,443.0,49580.0,0,190,0,9161,1292
14,49580.0,443.0,0,246,0,44555,3847
15,443.0,49580.0,0,148,0,40599,1231
16,49580.0,443.0,0,234,0,33036,5102
17,443.0,49580.0,0,146,0,39484,1258
18,49580.0,443.0,0,182,0,64176,4871
19,443.0,49580.0,0,137,0,32454,1363
20,49580.0,443.0,0,189,0,65001,5075
21,443.0,49580.0,0,143,0,39513,1246
22,49580.0,443.0,0,157,0,41457,4820
23,443.0,49580.0,0,132,0,35053,1207
24,49580.0,443.0,0,150,0,41428,4804
25,443.0,49580.0,0,124,0,24309,1286
26,49580.0,443.0,0,192,0,13554,5143
27,443.0,49580.0,0,105,0,9076,1243
28,49580.0,443.0,0,8,0,20837,4316
29,443.0,49580.0,0,34,0,19798,2017
30,49580.0,443.0,0,171,0,52237,4865
31,443.0,49580.0,0,124,0,6634,1199
32,49580.0,443.0,0,172,0,19335,18607
33,443.0,49580.0,0,112,0,55266,21555
34,49580.0,443.0,0,14,0,45791,3138
35,443.0,49580.0,0,160,0,47795,1285
36,49580.0,443.0,0,145,0,44512,4627
37,443.0,49580.0,0,130,0,31368,1424
38,49580.0,443.0,0,150,0,20852,4829
39,443.0,49580.0,0,150,0,47115,1183
40,49580.0,443.0,0,136,0,13793,6101
41,443.0,49580.0,0,135,0,37855,1187
42,49580.0,443.0,0,84,0,27766,6027
43,443.0,49580.0,0,56,0,20463,1492
44,49580.0,443.0,0,226,0,23335,6199
45,443.0,49580.0,0,77,0,61456,1228
46,49580.0,443.0,0,132,0,24471,4986
47,443.0,49580.0,0,155,0,48143,1202
48,49580.0,443.0,0,145,0,27136,5279
49,443.0,49580.0,0,135,0,36226,1387
50,49580.0,443.0,0,152,0,21967,5753
51,443.0,49580.0,0,140,0,42684,1238
52,49580.0,443.0,0,131,0,7335,5517
53,443.0,49580.0,0,149,0,47484,1242
54,49580.0,443.0,0,162,0,25652,4840
55,443.0,49580.0,0,147,0,45457,1255
56,49580.0,443.0,0,142,0,22191,5655
57,443.0,49580.0,0,124,0,33453,1215
58,49580.0,443.0,0,77,0,64183,7299
59,443.0,49580.0,0,117,0,27538,1221
60,49580.0,443.0,0,27,0,8334,5584
61,443.0,49580.0,0,55,0,59951,2047
62,49580.0,443.0,0,174,0,131,6695
63,443.0,49580.0,0,233,0,192,1272
64,49580.0,443.0,0,104,0,1246,5774
65,443.0,49580.0,0,122,0,31339,1345
66,49580.0,443.0,0,100,0,7878,6761
67,443.0,49580.0,0,140,0,39998,1469
68,49580.0,443.0,0,109,0,1333,5944
69,443.0,49580.0,0,122,0,28110,1280
70,49580.0,443.0,0,62,0,732,6559
71,443.0,49580.0,0,113,0,23165,1225
72,49580.0,443.0,0,115,0,59897,6481
73,443.0,49580.0,0,146,0,45428,1246
74,49580.0,443.0,0,117,0,7393,6263
75,443.0,49580.0,0,121,0,31339,1255
76,49580.0,443.0,0,112,0,10448,5903
77,443.0,49580.0,0,102,0,44956,1239
78,49580.0,443.0,0,170,0,15907,4185
79,443.0,49580.0,0,198,0,53811,1985
80,49580.0,443.0,0,51,0,64784,6175
81,443.0,49580.0,0,140,0,42626,1237
82,49580.0,443.0,0,135,0,21279,5397
83,443.0,49580.0,0,137,0,37312,1265
84,49580.0,443.0,0,165,0,28396,5019
85,443.0,49580.0,0,146,0,43828,1211
86,49580.0,443.0,0,141,0,12823,6117
87,443.0,49580.0,0,163,0,46456,1269
88,49580.0,443.0,0,61,0,55639,5668
89,443.0,49580.0,0,242,0,11581,665
90,49580.0,443.0,0,157,0,24110,5628
91,443.0,49580.0,0,123,0,29109,1233
92,49580.0,443.0,0,89,0,9449,5597
93,443.0,49580.0,0,115,0,25366,1227
94,49580.0,443.0,0,211,0,48168,5477
95,443.0,49580.0,0,204,0,10126,1349
96,49580.0,443.0,0,219,0,12135,3946
97,443.0,49580.0,0,202,0,52182,1274
98,49580.0,443.0,0,69,0,3476,6551
99,443.0,49580.0,0,127,0,32425,1253
100,49580.0,443.0,0,135,0,8450,6072
101,443.0,49580.0,0,140,0,39998,1435
102,49580.0,443.0,0,127,0,9565,5110
103,443.0,49580.0,0,122,0,28110,1241
104,49580.0,443.0,0,72,0,3592,5999
105,443.0,49580.0,0,108,0,19936,1351
106,49580.0,443.0,0,146,0,21250,6010
107,443.0,49580.0,0,143,0,44342,1320
108,49580.0,443.0,0,134,0,15538,5469
109,443.0,49580.0,0,135,0,35683,1266
110,49580.0,443.0,0,197,0,8392,5227
111,443.0,49580.0,0,103,0,48757,1238
112,49580.0,443.0,0,106,0,26137,4853
113,443.0,49580.0,0,218,0,55382,2445
114,49580.0,443.0,0,255,0,5561,5712
115,443.0,49580.0,0,100,0,16135,2494
116,49580.0,443.0,0,123,0,11679,5966
117,443.0,49580.0,0,135,0,36255,1243
118,49580.0,443.0,0,135,0,14423,6165
119,443.0,49580.0,0,146,0,45457,1239
120,49580.0,443.0,0,129,0,13851,5054
121,443.0,49580.0,0,147,0,43285,1201
122,49580.0,443.0,0,143,0,15994,5608
123,443.0,49580.0,0,147,0,44400,1210
124,49580.0,443.0,0,147,0,23567,5204
125,443.0,49580.0,0,126,0,31339,1238
126,49580.0,443.0,0,92,0,3592,6099
127,443.0,49580.0,0,116,0,24852,1327
128,49580.0,443.0,0,119,0,18195,6176
129,443.0,49580.0,0,141,0,36769,1276
130,49580.0,443.0,0,202,0,276,6409
131,443.0,49580.0,0,223,0,57612,1194
132,49580.0,443.0,0,38,0,64241,6155
133,443.0,49580.0,0,115,0,24280,1298
134,49580.0,443.0,0,133,0,10506,5722
135,443.0,49580.0,0,135,0,38398,1238
136,49580.0,443.0,0,129,0,6821,5801
137,443.0,49580.0,0,133,0,39368,1272
138,49580.0,443.0,0,95,0,5192,6271
139,443.0,49580.0,0,89,0,9619,1415
140,49580.0,443.0,0,107,0,10962,6201
141,443.0,49580.0,0,149,0,45971,1236
142,49580.0,443.0,0,136,0,7393,6133
143,443.0,49580.0,0,151,0,47542,1234
144,49580.0,443.0,0,167,0,60744,5658
145,443.0,49580.0,0,174,0,24170,1238
146,49580.0,443.0,0,11,0,790,5616
147,443.0,49580.0,0,212,0,59668,1266
148,49580.0,443.0,0,253,0,26303,6315
149,443.0,49580.0,0,89,0,12848,1219
150,49580.0,443.0,0,173,0,3932,4725
